total_kWhDelivered,carsCharging,carsIdle,Holiday,Weekday
36.1348,11,5,False,3
72.24005119047621,28,6,False,3
46.83438452380952,22,14,False,3
41.16538452380952,19,17,False,3
34.654051190476196,16,17,False,3
36.935834523809525,15,18,False,3
42.94343452380953,15,18,False,3
35.21893452380952,11,18,False,3
4.049125,2,16,False,3
21.3905,3,9,False,3
28.228,5,6,False,3
19.1945,3,8,False,3
11.51,2,3,False,3
1.143,1,2,False,3
15.495,3,2,False,3
0.0,0,3,False,3
0.0,0,3,False,4
3.47025,1,1,False,4
3.47025,1,1,False,4
10.25465,2,1,False,4
10.25465,2,1,False,4
10.665733333333334,2,2,False,4
16.258733333333332,3,1,False,4
32.7134,8,1,False,4
38.217999999999996,11,3,False,4
73.2182,27,5,False,4
62.55787261904762,26,10,False,4
52.687324999999994,24,13,False,4
38.02350833333333,18,17,False,4
44.001591666666656,19,16,False,4
40.87889166666666,17,16,False,4
39.20555833333333,14,16,False,4
27.379975,8,13,False,4
30.501910714285714,5,7,False,4
19.675333333333334,5,4,False,4
10.802833333333334,3,1,False,4
24.056166666666662,5,1,False,4
14.684333333333333,4,1,False,4
16.288333333333334,4,1,False,4
7.0305,1,4,False,4
7.0305,1,4,False,5
7.0305,1,3,False,5
0.0,0,3,False,5
0.0,0,3,False,5
0.0,0,3,False,5
4.839,1,3,False,5
0.0,0,3,False,5
0.0,0,3,False,5
3.3973999999999998,1,3,False,5
41.5136,7,3,False,5
29.203366666666664,6,4,False,5
32.32736666666666,7,2,False,5
21.007866666666665,5,3,False,5
20.1048,4,5,False,5
12.683599999999998,2,6,False,5
20.749499999999998,3,7,False,5
27.652500000000003,5,5,False,5
27.884,4,5,False,5
6.443,1,5,False,5
16.323,4,4,False,5
8.772,2,3,False,5
8.029,2,3,False,5
0.0,0,3,False,5
1.9817142857142858,1,3,False,5
1.9817142857142858,1,2,False,6
1.9817142857142858,1,2,False,6
1.9817142857142858,1,2,False,6
1.9817142857142858,1,2,False,6
1.9817142857142858,1,2,False,6
1.9817142857142858,1,2,False,6
0.0,0,2,False,6
0.0,0,2,False,6
0.0,0,2,False,6
0.0,0,1,False,6
0.0,0,1,False,6
9.344,2,1,False,6
23.188916666666668,5,1,False,6
19.989916666666666,5,1,False,6
27.029249999999998,7,1,False,6
19.02958333333333,5,2,False,6
7.184083333333334,2,3,False,6
10.35425,2,3,False,6
10.35425,2,2,False,6
26.621583333333334,5,2,False,6
10.494833333333334,2,3,False,6
4.633333333333334,1,3,False,6
0.0,0,3,False,6
7.29,1,3,False,6
0.0,0,3,True,0
0.0,0,2,False,0
0.0,0,2,False,0
0.0,0,1,False,0
0.0,0,1,False,0
0.0,0,1,False,0
0.0,0,1,False,0
0.0,0,1,False,0
0.0,0,1,False,0
3.599,1,1,False,0
6.8845,2,1,False,0
6.8845,2,1,False,0
23.762999999999998,5,2,False,0
10.322,1,5,False,0
1.79,1,6,False,0
15.769499999999999,3,5,False,0
6.8675,1,5,False,0
0.0,0,5,False,0
4.034,1,3,False,0
22.611,3,3,False,0
8.159,1,3,False,0
4.1335,1,1,False,0
4.1335,1,1,False,0
9.5595,3,1,False,0
5.8365,2,1,False,1
0.0,0,2,False,1
9.708,1,2,False,1
0.0,0,2,False,1
0.0,0,1,False,1
0.0,0,1,False,1
0.0,0,1,False,1
16.0845,3,1,False,1
43.04783333333333,13,1,False,1
53.87976785714285,21,5,False,1
53.69569166666667,23,9,False,1
51.14970833333333,21,11,False,1
51.702108333333335,23,13,False,1
38.86710833333333,17,15,False,1
37.34210833333334,15,17,False,1
29.94129166666667,11,16,False,1
21.215882142857144,6,8,False,1
5.957,2,4,False,1
25.03933333333333,4,2,False,1
17.499333333333333,4,0,False,1
48.73459523809524,9,0,False,1
26.543261904761906,5,2,False,1
24.138761904761907,4,3,False,1
6.416428571428572,2,4,False,1
1.8354285714285716,1,4,False,2
1.8354285714285716,1,4,False,2
1.8354285714285716,1,4,False,2
0.0,0,5,False,2
0.0,0,5,False,2
2.9035,1,4,False,2
9.8405,2,2,False,2
29.239416666666667,7,2,False,2
36.542941666666664,10,5,False,2
62.19929642857142,23,7,False,2
58.77262976190475,25,11,False,2
